C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\geos_drivers.d64,7,EPSON24PIN.CVT  ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\geos_drivers.d64,4,EPLQ-1500       ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\uIecSwitch-1.2-src.d64,0,uIecSwitch 1.2fd,IG 2A
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\uIecSwitch-1.2-src.d64,66,uIecSwitchS1    ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\uIecSwitch-1.2-src.d64,57,uIecSwitchS2    ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\uIecSwitch-1.2-src.d64,5,uIecSwitchH     ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\uIecSwitch-1.2-src.d64,4,uIecSwitch.inc  ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\uIecSwitch-1.2-src.d64,5,cbm.inc         ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\uIecSwitch-1.2-src.d64,3,uIecSwitch.lnk  ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\uIecSwitch-1.2-src.d64,15,uIecSwitch      ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\uIecSwitch-1.2-src.d64,11,uIecSwitch.dbg  ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\uIecSwitch-1.2-src.d64,11,uIecSwitchSym   ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\uIecSwitch-1.2-src.d64,9,uIecSwitchMac   ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\uIecSwitch-1.2-src.d64,12,uIecSwitchIcons ,USR
